0,0,220.145625,6.308762,1.0,199.978516,2.987183,0.0
0,1,222.14541,6.338633,1.0,199.977539,2.987183,0.0
0,2,224.145176,6.368505,1.0,199.977539,2.987213,0.0
0,3,226.144961,6.398378,1.0,149.636719,2.235199,0.0
0,4,227.13791,6.413209,1.0,99.294922,1.483154,0.0
1,0,9.630947,-125.991836,1.0,15.990051,-172.033203,0.0
1,1,9.790848,-127.712168,1.0,30.224518,-167.887207,-0.052509
1,2,10.235438,-129.34958,0.99895,58.152191,-158.725098,-1.38192
1,3,10.953892,-130.88667,0.972362,83.923248,-145.654297,-3.410831
1,4,11.913903,-132.262666,0.930733,105.415283,-120.983398,-2.587006
1,5,13.062197,-133.306338,0.920621,126.091797,-88.281738,1.517025
1,6,14.435739,-134.028301,0.961074,144.217346,-53.79834,4.135841
1,7,15.946544,-134.382305,1.003338,121.378357,-19.098145,3.313305
1,8,16.863306,-134.410264,1.02734,91.676147,-2.795898,2.400146
2,0,9.630947,-125.991826,1.0,4.933716,-199.94043,0.0
2,1,9.680284,-127.99123,1.0,4.933624,-199.939453,0.0
2,2,9.72962,-129.990615,1.0,4.933655,-199.938965,0.0
2,3,9.778958,-131.99001,1.0,4.933746,-199.938965,0.0
2,4,9.828295,-133.989395,1.0,4.933685,-199.938965,0.0
2,5,9.877631,-135.988789,1.0,4.933655,-199.938965,0.0
2,6,9.926968,-137.988174,1.0,4.933685,-199.938965,0.0
2,7,9.976305,-139.987568,1.0,4.933716,-199.939941,0.0
2,8,10.025642,-141.986973,1.0,4.933655,-199.939453,0.0
2,9,10.074978,-143.986357,1.0,4.933655,-199.938965,0.0
2,10,10.124315,-145.985752,1.0,3.139435,-127.225586,0.0
2,11,10.137767,-146.530869,1.0,1.345154,-54.511719,0.0
3,0,154.126846,-140.759248,8.961266,3.477539,-199.969727,-12.35022
3,1,154.161621,-142.758945,8.837764,3.478027,-199.970215,-16.592804
3,2,154.196406,-144.758652,8.62941,3.478027,-199.970215,-25.077942
3,3,154.231182,-146.75835,8.336205,3.478516,-199.969238,-33.563171
3,4,154.265977,-148.758037,7.958146,3.478516,-199.969238,-41.941589
3,5,154.300752,-150.757734,7.497373,3.478027,-199.969727,-47.353363
3,6,154.335537,-152.757432,7.011079,3.478027,-199.969727,-48.629364
3,7,154.370313,-154.757129,6.524786,3.478516,-199.969238,-48.629364
3,8,154.405107,-156.756816,6.038492,3.478516,-199.970215,-48.629395
3,9,154.439883,-158.756533,5.552198,3.477539,-199.970703,-48.629364
3,10,154.474658,-160.75623,5.065905,3.478027,-199.969238,-48.629349
3,11,154.509443,-162.755918,4.579611,3.478027,-199.969727,-48.629379
3,12,154.544219,-164.755625,4.093317,3.478516,-199.969727,-48.629395
3,13,154.579014,-166.755313,3.607023,3.478516,-199.969727,-48.163498
3,14,154.613789,-168.75502,3.130047,3.478027,-199.969727,-45.434143
3,15,154.648574,-170.754707,2.69834,3.478027,-199.969727,-40.728836
3,16,154.68335,-172.754414,2.31547,3.478516,-199.969727,-35.845146
3,17,154.718145,-174.754102,1.981437,3.478027,-199.969727,-30.961441
3,18,154.75291,-176.753809,1.696241,2.086914,-120.019531,-16.823448
3,19,154.759883,-177.154492,1.644968,0.697266,-40.068359,-5.127319
4,0,143.10542,-200.910137,1.0,-199.9375,-5.025391,0.0
4,1,141.106045,-200.960391,1.0,-199.936523,-5.025391,0.0
4,2,139.106689,-201.010645,1.0,-199.936523,-5.023438,0.0
4,3,137.107314,-201.060859,1.0,-199.9375,-5.023438,0.0
4,4,135.107939,-201.111113,1.0,-199.936523,-5.025391,0.0
4,5,133.108584,-201.161367,1.0,-199.936523,-5.024414,0.0
